Name,Location,Study Program,Sector,Rating,new_Rating,Cities
College Of Home Sciences Saidu Sharif Swat,Saidu Sharif Swat,FSc Pre Engineering ICs Computer Science,Private,4.75*,5*,Swat
Govt Degree College For Women Kabirwala Khanewal,Govt Degree College For Women Kabirwala Khanewal,FA FSc Pre Engineering FSc Pre Medical FA General Science,Public,0*,0*,Khanewal
"National Institute of Leather Technology, Karachi","Plot No. St-20, Sector 7-A, Korangi Industrial Area, Karachi, ",DAE Leather Technology,Private,0*,0*,Karachi
Govt College For Women College Road Gujranwala,Govt College For Women College Road Gujranwala,FA FSc Pre-Engineering FSc Pre-Medical ICS ICom FA General Science,Public,0*,0*,Gujrawala
Capital College Islamabad,"Darbar Chowk, Service Road West G-11, Near Kashmir Highway Islamabad.",FSc Pre Engineering Fsc Pre Medical ICs Computer Science ICom FA,Private,0*,0*,Islamabad
Govt Institute of Commerce Chiniot,Govt Institute of Commerce Chiniot,Dcom FA ICom,Public,2*,2*,Chiniot
Govt Degree College For Women Bhagowal Kalan Gujrat,Govt Degree College For Women Bhagowal Kalan Gujrat,FA FSc Pre Engineering FSc Pre Medical ICS ICom FA General Science,Public,0*,0*,Gujrat
Govt College For Women Jahanian Khanewal,Govt College For Women Jahanian Khanewal,FA FSc Pre Engineering FSc Pre Medical ICS Computer Science ICom FA General Science ,Public,0*,0*,Khanewal
Govt Degree Boys College Shah Sadar Din Dera Ghazi Khan,Govt Degree Boys College Shah Sadar Din Dera Ghazi Khan,FSc Pre-Medical FSc Pre-Engineering ICS FA FA General Science,Public,0*,0*,Dera Ghazi Khan 
"Govt. College for Elementary Teachers, Mirpur",25 Km from Dina and 10 km from Mangla,FA Fsc Pre Medical,Private,0*,0*,Mangla
Balochistan Institute Of Information Technology Quetta,Near Commissioner Zhob Division Office Quetta Road Loralai ,ICS Icom FSc Pre Engineering FSc Pre Medical,Private,0*,0*,Loralai
Govt Boys Degree College Dina Jhelum,Govt Boys Degree College Dina Jhelum,FA Fsc Pre-Engineering FSc Pre-Medical ICS FA General Science,Public,0*,0*,Jehlum
Govt Degree College Women Raiwind Lahore,Govt Degree College Women Raiwind Lahore,ICS Icom FA FSc Pre Medical FSc Pre Engineering,Public,0*,0*,Lahore
Govt Boys Degree College Quaidabad Khushab,Govt Boys Degree College Quaidabad Khushab,FA FSc Pre Engineering FSc Pre Medical ICom ICS Computer Science FA General Science,Public,0*,0*,Khushab
Punjab Group of Colleges Kallar Saydan,"Ittiffaq Town Naseer-ud-din Road, Plot # 50, Mureed Chowk, Kallar Saydan",FA ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom FA General Science,Private,0*,0*,Saydan
